title,price,retail_price,units_sold,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,origin_country,merchant_title,merchant_rating_count,merchant_rating,merchant_has_profile_picture
2020 Summer Vintage Flamingo Print  Pajamas Set Casual Loose T Shirt Top And Elastic Shorts Women Sleepwear Night Wear Loungewear Sets,16.0,14,100,0,3.76,54,26.0,8.0,10.0,1.0,9.0,0,0,0,0,"Summer,Fashion,womenunderwearsuit,printedpajamasset,womencasualshort,Women's Fashion,flamingo,loungewearset,Casual,Shirt,casualsleepwear,Shorts,flamingotshirt,Elastic,Vintage,Tops,tshirtandshortsset,Women,Sleepwear,Print,womenpajamasset,womennightwear,Pajamas,womensleepwearset",white,M,50,Livraison standard,4,0,34,50,CN,zgrdejia,568,4.128521126760563,0
SSHOUSE Summer Casual Sleeveless Soirée Party Soirée sans manches Vêtements de plage sexy Mini robe femme wshC1612242400387A21,8.0,22,20000,1,3.45,6135,2269.0,1027.0,1118.0,644.0,1077.0,0,0,0,0,"Mini,womens dresses,Summer,Patchwork,fashion dress,Dress,Mini dress,Women's Fashion,Women S Clothing,backless,party,summer dresses,sleeveless,sexy,Casual",green,XS,50,Livraison standard,2,0,41,50,CN,SaraHouse,17752,3.8996732762505633,0
2020 Nouvelle Arrivée Femmes Printemps et Été Plage Porter Longue Mince Cardigan Ouvert Avant Kimono Vert Feuille Imprimé En Mousseline de Soie Cardigan S-5XL,8.0,43,100,0,3.57,14,5.0,4.0,2.0,0.0,3.0,0,0,0,0,"Summer,cardigan,women beachwear,chiffon,Sexy women,Coat,summercardigan,openfront,short sleeves,Swimsuit,Women's Fashion,leaf,Green,printed,Spring,longcardigan,Women,Beach,kimono",leopardprint,XS,1,Livraison standard,3,0,36,50,CN,hxt520,295,3.9898305084745758,0
Hot Summer Cool T-shirt pour les femmes Mode Tops Abeille Lettres imprimées Manches courtes O Neck Coton T-shirts Tops Tee Vêtements,8.0,8,5000,1,4.03,579,295.0,119.0,87.0,42.0,36.0,0,0,0,0,"Summer,Shorts,Cotton,Cotton T Shirt,Sleeve,printedletterstop,Clothing,Tops,Necks,short sleeves,Women's Fashion,Women Clothing,printed,Women,tshirtforwomen,Fashion,T Shirts,Shirt",black,M,50,Livraison standard,2,0,41,50,CN,allenfan,23832,4.020434709634105,0
"Femmes Shorts d'été à lacets taille élastique lâche mince pantalon décontracté, plus la taille S-8XL",2.72,3,100,1,3.1,20,6.0,4.0,2.0,2.0,6.0,0,0,0,0,"Summer,Plus Size,Lace,Casual pants,Bottom,pants,Loose,Women's Fashion,Shorts,Lace Up,Elastic,Casual,Women",yellow,S,1,Livraison standard,1,0,35,50,CN,youngpeopleshop,14482,4.001588178428394,0
Plus la taille d'été femmes décontracté sans manches barboteuses combinaisons combinaison de couleur unie jarretelles pantalons lâche salopette,3.92,9,10,0,5.0,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,"Deep V-Neck,Summer,Plus Size,Spaghetti Strap,Overalls,Women's Fashion,sleeveless,Women,Casual,jumpsuit",navyblue,Size-XS,1,Livraison standard,1,0,40,50,CN,zhoulinglinga,65,3.507692307692308,0
Women Fashion Loose Lace Blouse Blouse V Neck Bat Sleeves T Shirt Hollow Out Tops Plus Grande Taille XS-8XL,7.0,6,50000,0,3.84,6742,3172.0,1352.0,971.0,490.0,757.0,0,0,0,0,"blouse,Women,lace t shirt,summer t-shirts,Lace,Sleeve,Women Blouse,loose shirt,Short Sleeve Blouses,Pure Color,Womens Blouse,Bat,lace shirts,Necks,Women's Fashion,Plus Size,loose t-shirt,Short Sleeve T-Shirt,Fashion,Tops,Shirt",white,XS,50,Livraison standard,2,0,31,50,CN,Unique Li Fashion Shop,10194,4.076515597410241,1
Robe tunique ample femme Robe d'été Robe en jean Robe chemise en jean Robe droite,12.0,11,1000,0,3.76,286,120.0,56.0,61.0,18.0,31.0,0,0,0,0,"Jeans,Fashion,tunic,Shirt,Summer,Dress,Denim,summer dress,denimjeansdres,short sleeves,casual dresses,Women's Fashion,Tunic dress,minishirtdres,Lines,mididre",blue,M.,50,Livraison standard,3,0,139,50,CN,So Band,342,3.681286549707602,0
Robe d'été décontractée à manches courtes pour femmes,11.0,84,100,1,3.47,15,6.0,2.0,3.0,1.0,3.0,0,0,0,0,"slim dress,summer dress,womenshortsleevedre,Sleeve,Summer,Dress,slim,short sleeves,Women's Fashion,Shorts,boho dress,slimfitdre,Fashion,Casual",black,M,50,Livraison standard,2,0,36,50,CN,chenxiangjunjun,330,3.803030303030303,0
"Femmes d'été, plus la taille décontractée lâche col en V à manches courtes imprimé floral Blouse Tops",5.78,22,5000,0,3.6,687,287.0,128.0,92.0,68.0,112.0,0,0,0,0,"blouse,Summer,Plus Size,Floral print,Necks,Sleeve,summer shirt,Loose,short sleeves,Casual,T Shirts,Shorts,Fashion,Floral,Women,Women's Fashion,Tops,printed",beige,S,50,Livraison standard,2,0,33,50,CN,Luowei clothe,5534,3.999819298879653,0
Femmes Mode Été Lâche Sans Manches Poches Couleur Unie Maxi Dress Robe Décontractée Plus La Taille,5.79,5,1000,0,3.46,613,245.0,101.0,81.0,61.0,125.0,0,0,0,0,"Summer,Plus Size,long dress,plus size dress,Dress,Women's Fashion,maxi dress,Casual,beach dress,Sleeveless dress,summer dresses,women dress,Fashion,loose dress,sleeveless",grey,XXS,2,Livraison standard,2,0,25,50,CN,mayuhiao,9470,3.9568109820485744,0
Été Sexy Femmes Mode Casual Lâche Tops Casual T-Shirt D'été Col En V Solide Couleur Plus La Taille À Manches Courtes Blouse,6.0,8,100,1,3.31,13,3.0,4.0,3.0,0.0,3.0,0,0,0,0,"Summer,Plus Size,Cotton T Shirt,womens shirt,summer t-shirts,short sleeves,V-neck,T Shirts,Fashion,sexy,Casual,Women,blouse,Shorts,Sleeve,Pure Color,Women's Fashion,Pullovers,Tops",lightblue,XS,2,Livraison standard,2,0,40,50,CN,lanniesdesign,3515,3.983783783783784,0
Shorts de causalité d'été de nouvelles femmes Pantalon court à cordon Pantalon court lâche,1.91,6,1000,1,3.45,141,49.0,29.0,24.0,14.0,25.0,0,0,0,0,"Summer,Women,Shorts,pants,Loose,Short pants,drawstring,Causal",orange,XS,1,Envio Padrão,1,0,38,50,CN,easymarket,557,4.123877917414721,0
